layers	source_ncbi	Environment	EET_Potential
contigs_mtx_inha_control_133	na	SAF-MBR	Yes
contigs_mtx_inha_control_4	na	SAF-MBR	Yes
contigs_mtx_inha_p1_afmbr_gac_86	na	SAF-MBR	Yes
contigs_mtx_inha_p2_afmbr_gac_72	na	SAF-MBR	Yes
contigs_mtx_inha_p3_afbr_gac_117	na	SAF-MBR	Yes
contigs_mtx_inha_p3_afmbr_gac_261	na	SAF-MBR	Yes
contigs_mtx_inha_p3_afmbr_gac_7	na	SAF-MBR	Yes
contigs_mtx_sf_fp_safmbr_gac_124	na	SAF-MBR	Yes
mtx_GCA_002067365_1_ASM206736v1_genomic	Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	Bioreactor	Unknown
mtx_GCA_002067495_1_ASM206749v1_genomic	Full-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	Bioreactor	Unknown
mtx_GCA_002067705_1_ASM206770v1_genomic	Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	Bioreactor	Unknown
mtx_GCA_002067905_1_ASM206790v1_genomic	Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	Bioreactor	Unknown
mtx_GCA_002067935_1_ASM206793v1_genomic	Lab-scale methanogenic bioreactor treating purified terephthalic acid process wastewater	Bioreactor	Unknown
mtx_GCA_002256595_1_ASM225659v1_genomic	plant surface	Natural	Unknown
mtx_GCA_002256665_1_ASM225666v1_genomic	mud surface	Soil	Unknown
mtx_GCA_002497945_1_ASM249794v1_genomic	waste water	WWTP	Unknown
mtx_GCA_002498745_1_ASM249874v1_genomic	waste water	WWTP	Unknown
mtx_GCA_002501765_1_ASM250176v1_genomic	Oil polluted marine water	Contamination	Unknown
mtx_GCA_002505805_1_ASM250580v1_genomic	closed biodigester	Bioreactor	Unknown
mtx_GCA_002506335_1_ASM250633v1_genomic	soil	Soil	Unknown
mtx_GCA_002506535_1_ASM250653v1_genomic	waste water	Natural	Unknown
mtx_GCA_002507265_1_ASM250726v1_genomic	mud	Soil	Unknown
mtx_GCA_003157115_1_20120600_E3D_genomic	permafrost active layer soil	Soil	Unknown
mtx_GCA_003157915_1_20120600_E1D_genomic	permafrost active layer soil	Soil	Unknown
mtx_GCA_003162615_1_20100900_E3D_genomic	permafrost active layer soil	Soil	Unknown
mtx_GCA_003170635_1_20110800_E2M_genomic	permafrost active layer soil	Soil	Unknown
mtx_GCA_003857025_1_ASM385702v1_genomic	Prairie Pothole Region wetland sediments	Sediment	Unknown
