Type	EET-gene	Phylum	Normalised relative abundance (%)
Bulk	MHC	Acidobacteriota	0.080317929
Bulk	epili	Acidobacteriota	0.355262203
GAC	Both	Acidobacteriota	0.372136307
GAC	Both	Acidobacteriota	0.2437738
GAC	MHC	Acidobacteriota	0.102011741
GAC	Both	Acidobacteriota	0.169813737
GAC	MHC	Acidobacteriota	0.244908874
GAC	Both	Acidobacteriota	2.603593044
GAC	Both	Acidobacteriota	0.931141338
GAC	Both	Acidobacteriota	0.086749284
Bulk	MHC	Actinobacteriota	0.237317977
Bulk	MHC	Actinobacteriota	0.15906292
Bulk	Both	Actinobacteriota	0.766590058
Bulk	Both	Actinobacteriota	0.228260091
GAC	non	Actinobacteriota	0.614994988
GAC	MHC	Actinobacteriota	1.122370618
GAC	Both	Actinobacteriota	0.607280111
GAC	non	Actinobacteriota	0.405684687
GAC	Both	Actinobacteriota	0.97702095
GAC	Both	Actinobacteriota	0.469843573
GAC	MHC	Actinobacteriota	1.093856593
GAC	MHC	Actinobacteriota	0.794817429
GAC	Both	Actinobacteriota	0.444712463
GAC	non	Actinobacteriota	0.089512886
GAC	non	Actinobacteriota	0.653197071
GAC	Both	Actinobacteriota	0.371292134
GAC	MHC	Actinobacteriota	0.617188558
GAC	non	Actinobacteriota	0.109245956
GAC	MHC	Actinobacteriota	0.133153907
GAC	Both	Actinobacteriota	0.270501577
GAC	non	Actinobacteriota	0.091528905
GAC	non	Actinobacteriota	0.584510487
GAC	non	Actinobacteriota	0.339613796
Bulk	Both	Other	0.116430004
GAC	epili	Other	0.110897307
Bulk	non	Bacteroidota	1.139615221
Bulk	non	Bacteroidota	2.906092659
Bulk	non	Bacteroidota	0.975091621
Bulk	non	Bacteroidota	0.346321487
Bulk	non	Bacteroidota	0.285933278
Bulk	non	Bacteroidota	0.542939656
Bulk	non	Bacteroidota	0.577765981
Bulk	non	Bacteroidota	0.863989453
Bulk	non	Bacteroidota	1.635994779
Bulk	non	Bacteroidota	2.337751497
Bulk	non	Bacteroidota	8.333608473
Bulk	MHC	Bacteroidota	2.165177075
Bulk	non	Bacteroidota	7.378585784
Bulk	non	Bacteroidota	0.312222393
Bulk	non	Bacteroidota	2.169772949
Bulk	non	Bacteroidota	2.682216394
Bulk	non	Bacteroidota	1.072465941
Bulk	MHC	Bacteroidota	1.3837885
Bulk	non	Bacteroidota	1.126519211
