WP_083774439.1	WP_083774439.1
WP_275805770.1	WP_275805770.1
MBT8341015.1	MBT8341015.1
MDD5759005.1	MDD5759005.1
MSN26209.1	MSN26209.1
MBU1564052.1	MBU1564052.1
MDR0477230.1	MDR0477230.1
MDP2758771.1	MDP2758771.1
MDY0220198.1	MDY0220198.1
KAF0187850.1	KAF0187850.1
WP_320370254.1	WP_320370254.1
RII25170.1	RII25170.1
MBP1722547.1	MBP1722547.1
WP_092052223.1	WP_092052223.1
HIJ90820.1	HIJ90820.1
TRO83655.1	TRO83655.1
MRR56764.1	MRR56764.1
MBI3607441.1	MBI3607441.1
WP_082351213.1	WP_082351213.1
PJA33351.1	PJA33351.1
OIP39442.1	OIP39442.1
WP_283775416.1	WP_283775416.1
HHJ63793.1	HHJ63793.1
MEA3465947.1	MEA3465947.1
WP_078791610.1	WP_078791610.1
WP_310600878.1	WP_310600878.1
OIP47617.1	OIP47617.1
MBW2091974.1	MBW2091974.1
RLJ70992.1	RLJ70992.1
WP_289022103.1	WP_289022103.1
TLM68916.1	TLM68916.1
WP_281172862.1	WP_281172862.1
TAL22331.1	TAL22331.1
MDX9841942.1	MDX9841942.1
MEA5115868.1	MEA5115868.1
WP_281261029.1	WP_281261029.1
HBR17744.1	HBR17744.1
WP_307632698.1	WP_307632698.1
HAL85859.1	HAL85859.1
WP_282755765.1	WP_282755765.1
WP_011939527.1	WP_011939527.1
WP_011939527.1	KAF0221886.1
MBI5327065.1	MBI5327065.1
HXY53873.1	HXY53873.1
HXY53873.1	HXY55967.1
MDQ6961183.1	MDQ6961183.1
OIQ01243.1	OIQ01243.1
WP_012648440.1	WP_012648440.1
WP_011341896.1	WP_011341896.1
HEY4743960.1	HEY4743960.1
OEU78084.1	OEU78084.1
NOR73003.1	NOR73003.1
HXH71449.1	HXH71449.1
RMH21364.1	RMH21364.1
MBM2838981.1	MBM2838981.1
RKY97013.1	RKY97013.1
HBT96625.1	HBT96625.1
HTP05508.1	HTP05508.1
RMH61398.1	RMH61398.1
MDQ6963207.1	MDQ6963207.1
HKI61852.1	HKI61852.1
WP_305042496.1	WP_305042496.1
MDI6851124.1	MDI6851124.1
MDY0189277.1	MDY0189277.1
MDQ6996509.1	MDQ6996509.1
